07-Feb-2022	01:58:30	Double Gauss F/2 -  Available Glasses                                           
RMS WAVEFRONT ERROR (WAVES AT 546.1 NM)


Position   1
X-Field	Y-Field	Magnitude
0	-14	6.118
-6.22222	-12.4444	5.40916
-4.66667	-12.4444	5.15496
-3.11111	-12.4444	5.51315
-1.55556	-12.4444	5.93765
0	-12.4444	6.80578
1.55556	-12.4444	7.03323
3.11111	-12.4444	7.20559
4.66667	-12.4444	7.42362
6.22222	-12.4444	7.43533
-7.77778	-10.8889	5.6727
-6.22222	-10.8889	5.52899
-4.66667	-10.8889	5.49458
-3.11111	-10.8889	5.89637
-1.55556	-10.8889	6.50174
0	-10.8889	6.97915
1.55556	-10.8889	7.15089
3.11111	-10.8889	7.20764
4.66667	-10.8889	7.05961
6.22222	-10.8889	6.94937
7.77778	-10.8889	6.81489
-9.33333	-9.33333	5.84576
-7.77778	-9.33333	5.51925
-6.22222	-9.33333	5.32012
-4.66667	-9.33333	5.47619
-3.11111	-9.33333	5.93138
-1.55556	-9.33333	6.43395
0	-9.33333	6.77164
1.55556	-9.33333	7.00765
3.11111	-9.33333	7.12189
4.66667	-9.33333	6.93511
6.22222	-9.33333	6.54145
7.77778	-9.33333	6.38865
9.33333	-9.33333	6.42858
-10.8889	-7.77778	6.05171
-9.33333	-7.77778	5.72292
-7.77778	-7.77778	5.35627
-6.22222	-7.77778	5.36572
-4.66667	-7.77778	5.55451
-3.11111	-7.77778	5.95414
-1.55556	-7.77778	6.3311
0	-7.77778	6.62481
1.55556	-7.77778	6.80438
3.11111	-7.77778	6.82582
4.66667	-7.77778	6.8215
6.22222	-7.77778	6.3662
7.77778	-7.77778	6.0601
9.33333	-7.77778	5.97995
10.8889	-7.77778	5.56459
-12.4444	-6.22222	6.10849
-10.8889	-6.22222	5.89409
-9.33333	-6.22222	5.60068
-7.77778	-6.22222	5.37598
-6.22222	-6.22222	5.27353
-4.66667	-6.22222	5.47348
-3.11111	-6.22222	5.84014
-1.55556	-6.22222	6.17916
0	-6.22222	6.44579
1.55556	-6.22222	6.59463
3.11111	-6.22222	6.73704
4.66667	-6.22222	6.582
6.22222	-6.22222	6.22251
7.77778	-6.22222	5.76236
9.33333	-6.22222	5.54481
10.8889	-6.22222	5.37492
12.4444	-6.22222	4.84065
-12.4444	-4.66667	5.91927
-10.8889	-4.66667	5.70669
-9.33333	-4.66667	5.39291
-7.77778	-4.66667	5.14156
-6.22222	-4.66667	5.19419
-4.66667	-4.66667	5.36401
-3.11111	-4.66667	5.82758
-1.55556	-4.66667	6.19621
0	-4.66667	6.36175
1.55556	-4.66667	6.47093
3.11111	-4.66667	6.48844
4.66667	-4.66667	6.23768
6.22222	-4.66667	5.95078
7.77778	-4.66667	5.53623
9.33333	-4.66667	5.15692
10.8889	-4.66667	5.06436
12.4444	-4.66667	4.84479
-12.4444	-3.11111	5.69191
-10.8889	-3.11111	5.50431
-9.33333	-3.11111	5.21686
-7.77778	-3.11111	5.09972
-6.22222	-3.11111	5.12043
-4.66667	-3.11111	5.4114
-3.11111	-3.11111	5.78812
-1.55556	-3.11111	6.06493
0	-3.11111	6.17867
1.55556	-3.11111	6.27194
3.11111	-3.11111	6.19175
4.66667	-3.11111	5.91069
6.22222	-3.11111	5.67706
7.77778	-3.11111	5.43849
9.33333	-3.11111	5.09733
10.8889	-3.11111	4.94187
12.4444	-3.11111	4.80697
-12.4444	-1.55556	5.5075
-10.8889	-1.55556	5.43619
-9.33333	-1.55556	5.10509
-7.77778	-1.55556	5.0657
-6.22222	-1.55556	5.25805
-4.66667	-1.55556	5.52706
-3.11111	-1.55556	5.67967
-1.55556	-1.55556	5.85495
0	-1.55556	6.03564
1.55556	-1.55556	6.04369
3.11111	-1.55556	5.8324
4.66667	-1.55556	5.62292
6.22222	-1.55556	5.46595
7.77778	-1.55556	5.44876
9.33333	-1.55556	5.18992
10.8889	-1.55556	4.92769
12.4444	-1.55556	5.00282
-14	0	5.22691
-12.4444	0	5.48844
-10.8889	0	5.38352
-9.33333	0	5.15507
-7.77778	0	5.25312
-6.22222	0	5.42303
-4.66667	0	5.65143
-3.11111	0	5.67213
-1.55556	0	5.78521
0	0	5.90022
1.55556	0	5.79295
3.11111	0	5.5271
4.66667	0	5.37115
6.22222	0	5.42074
7.77778	0	5.39815
9.33333	0	5.15874
10.8889	0	4.95967
12.4444	0	5.20667
14	0	5.44142
-12.4444	1.55556	5.4874
-10.8889	1.55556	5.56999
-9.33333	1.55556	5.60613
-7.77778	1.55556	5.77246
-6.22222	1.55556	5.79365
-4.66667	1.55556	5.92151
-3.11111	1.55556	5.86461
-1.55556	1.55556	5.85926
0	1.55556	5.82967
1.55556	1.55556	5.6152
3.11111	1.55556	5.32782
4.66667	1.55556	5.2365
6.22222	1.55556	5.30476
7.77778	1.55556	5.19459
9.33333	1.55556	5.05852
10.8889	1.55556	5.102
12.4444	1.55556	5.38085
-12.4444	3.11111	5.81325
-10.8889	3.11111	5.97999
-9.33333	3.11111	6.24589
-7.77778	3.11111	6.38234
-6.22222	3.11111	6.2162
-4.66667	3.11111	6.20847
-3.11111	3.11111	6.09238
-1.55556	3.11111	5.83458
0	3.11111	5.67064
1.55556	3.11111	5.44193
3.11111	3.11111	5.29415
4.66667	3.11111	5.13423
6.22222	3.11111	5.07583
7.77778	3.11111	5.00061
9.33333	3.11111	5.08067
10.8889	3.11111	5.19254
12.4444	3.11111	5.5793
-12.4444	4.66667	6.09325
-10.8889	4.66667	6.62685
-9.33333	4.66667	6.84194
-7.77778	4.66667	6.78484
-6.22222	4.66667	6.69343
-4.66667	4.66667	6.36394
-3.11111	4.66667	6.10711
-1.55556	4.66667	5.73193
0	4.66667	5.48018
1.55556	4.66667	5.36941
3.11111	4.66667	5.20984
4.66667	4.66667	4.91876
6.22222	4.66667	4.95765
7.77778	4.66667	4.97751
9.33333	4.66667	5.08808
10.8889	4.66667	5.33068
12.4444	4.66667	5.79293
-12.4444	6.22222	6.51665
-10.8889	6.22222	7.1588
-9.33333	6.22222	7.3477
-7.77778	6.22222	7.25018
-6.22222	6.22222	7.00711
-4.66667	6.22222	6.52851
-3.11111	6.22222	6.10656
-1.55556	6.22222	5.6258
0	6.22222	5.41962
1.55556	6.22222	5.24598
3.11111	6.22222	5.04497
4.66667	6.22222	4.77739
6.22222	6.22222	4.86204
7.77778	6.22222	4.94968
9.33333	6.22222	5.19729
10.8889	6.22222	5.51636
12.4444	6.22222	5.87175
-10.8889	7.77778	7.60573
-9.33333	7.77778	7.84501
-7.77778	7.77778	7.5261
-6.22222	7.77778	7.14012
-4.66667	7.77778	6.58011
-3.11111	7.77778	6.06481
-1.55556	7.77778	5.71469
0	7.77778	5.54323
1.55556	7.77778	5.31769
3.11111	7.77778	4.94256
4.66667	7.77778	4.68537
6.22222	7.77778	4.6936
7.77778	7.77778	4.89909
9.33333	7.77778	5.23969
10.8889	7.77778	5.56935
-9.33333	9.33333	8.18135
-7.77778	9.33333	7.86942
-6.22222	9.33333	7.51794
-4.66667	9.33333	6.62842
-3.11111	9.33333	6.21298
-1.55556	9.33333	5.9297
0	9.33333	5.65296
1.55556	9.33333	5.3667
3.11111	9.33333	4.99381
4.66667	9.33333	4.59339
6.22222	9.33333	4.65105
7.77778	9.33333	4.98191
9.33333	9.33333	5.24955
-7.77778	10.8889	8.15831
-6.22222	10.8889	7.72209
-4.66667	10.8889	7.1822
-3.11111	10.8889	6.58241
-1.55556	10.8889	6.16211
0	10.8889	5.81748
1.55556	10.8889	5.30098
3.11111	10.8889	4.82231
4.66667	10.8889	4.65881
6.22222	10.8889	4.76928
7.77778	10.8889	5.08502
-6.22222	12.4444	7.69489
-4.66667	12.4444	7.28349
-3.11111	12.4444	6.826
-1.55556	12.4444	6.21716
0	12.4444	5.71612
1.55556	12.4444	5.03391
3.11111	12.4444	4.66268
4.66667	12.4444	4.55462
6.22222	12.4444	4.7452
0	14	5.49988

Minimum value	4.55462
Maximum value	8.18135
Average value	5.83553
Std deviation	0.756987
